REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
data/testwav/network1/org1.wav	 data/testwav/network1/noisy1.wav	 1.926	 1.575	 16000	nb
data/testwav/network1/org1.wav	 data/testwav/network1/pred1.wav	 1.974	 1.611	 16000	nb
data/testwav/network1/org1.wav	 data/testwav/network1/org1.wav	 4.500	 4.549	 16000	nb
data/testwav/network1/org2.wav	 data/testwav/network1/noisy2.wav	 0.840	 1.128	 16000	nb
data/testwav/network1/org2.wav	 data/testwav/network1/pred2.wav	 1.689	 1.421	 16000	nb
data/testwav/network1/org2.wav	 data/testwav/network1/pred2.wav	 1.689	 1.421	 16000	nb
data/testwav/network1/org5.wav	 data/testwav/network1/noisy5.wav	 0.783	 1.117	 16000	nb
data/testwav/network1/org5.wav	 data/testwav/network1/pred5.wav	 1.593	 1.370	 16000	nb
data/testwav/network1/org6.wav	 data/testwav/network1/noisy6.wav	 0.212	 1.050	 16000	nb
data/testwav/network1/org6.wav	 data/testwav/network1/pred6.wav	 2.396	 2.013	 16000	nb
data/testwav/network2/org1.wav	 data/testwav/network2/noisy1.wav	 1.926	 1.575	 16000	nb
data/testwav/network2/org1.wav	 data/testwav/network2/pred1.wav	 0.504	 1.078	 16000	nb
data/testwav/network2/org2.wav	 data/testwav/network2/noisy2.wav	 0.840	 1.128	 16000	nb
data/testwav/network2/org2.wav	 data/testwav/network2/pred2.wav	 1.109	 1.188	 16000	nb
data/testwav/network2/org5.wav	 data/testwav/network2/pred5.wav	 1.027	 1.167	 16000	nb
data/testwav/network2/org6.wav	 data/testwav/network2/pred6.wav	 2.350	 1.962	 16000	nb
data/testwav/network3/org1.wav	 data/testwav/network3/pred1.wav	 0.795	 1.119	 16000	nb
data/testwav/network3/org2.wav	 data/testwav/network3/pred2.wav	 2.929	 2.717	 16000	nb
data/testwav/network3/org5.wav	 data/testwav/network3/pred5.wav	 0.453	 1.072	 16000	nb
data/testwav/network3/org6.wav	 data/testwav/network3/pred6.wav	 3.166	 3.070	 16000	nb
data/testwav/network4/org1.wav	 data/testwav/network4/pred1.wav	 2.418	 2.038	 16000	nb
data/testwav/network4/org2.wav	 data/testwav/network4/pred2.wav	 0.302	 1.058	 16000	nb
data/testwav/network4/org5.wav	 data/testwav/network4/pred5.wav	 0.413	 1.068	 16000	nb
data/testwav/network4/org6.wav	 data/testwav/network4/pred6.wav	 1.735	 1.448	 16000	nb
data/testwav/network4/org6.wav	 data/testwav/network4/noisy6.wav	 0.212	 1.050	 16000	nb
data/testwav/network3/org5.wav	 data/testwav/network3/pred5.wav	 0.453	 1.072	 16000	nb
data/testwav/network3/org5.wav	 data/testwav/network3/noisy5.wav	 0.783	 1.117	 16000	nb
data/testwav/network4/org6.wav	 data/testwav/network4/pred6.wav	 1.735	 1.448	 16000	nb
data/testwav/network5/org1.wav	 data/testwav/network5/pred1.wav	 0.607	 1.091	 16000	nb
data/testwav/network5/org1.wav	 data/testwav/network5/noisy1.wav	 1.926	 1.575	 16000	nb
data/testwav/network5/org1.wav	 data/testwav/network5/pred1.wav	 0.607	 1.091	 16000	nb
data/testwav/network5/org2.wav	 data/testwav/network5/pred2.wav	 0.648	 1.096	 16000	nb
data/testwav/network5/org5.wav	 data/testwav/network5/pred5.wav	 0.500	 1.077	 16000	nb
data/testwav/network5/org6.wav	 data/testwav/network5/pred6.wav	 1.167	 1.204	 16000	nb
